table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
dvdrental,information_schema,sql_parts,feature_name,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_parts,is_supported,3,NULL,YES,character varying,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,yes_or_no,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_parts,is_verified_by,4,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_parts,comments,5,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,5,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing,sizing_id,1,NULL,YES,integer,NULL,NULL,32,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,cardinal_number,dvdrental,pg_catalog,int4,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing,sizing_name,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing,supported_value,3,NULL,YES,integer,NULL,NULL,32,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,cardinal_number,dvdrental,pg_catalog,int4,NULL,NULL,NULL,NULL,3,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing,comments,4,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,4,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing_profiles,sizing_id,1,NULL,YES,integer,NULL,NULL,32,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,cardinal_number,dvdrental,pg_catalog,int4,NULL,NULL,NULL,NULL,1,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
dvdrental,information_schema,sql_sizing_profiles,sizing_name,2,NULL,YES,character varying,NULL,1073741824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dvdrental,information_schema,character_data,dvdrental,pg_catalog,varchar,NULL,NULL,NULL,NULL,2,NO,NO,NULL,NULL,NULL,NULL,NULL,NO,NEVER,NULL,YES
